country_slug,country_name,subdivision_type,subdivision_slug,subdivision_name,subdivision_wikidata_id,subdivision_wikipedia_url,capital_name,capital_wikidata_id,capital_wikipedia_url,borders_subdivisions,borders_countries,borders_waters,connections,locator_svg_path,base_svg_path,notes
mexico,Mexico,federative entity,durango,Durango,Q79918,https://en.wikipedia.org/wiki/Durango,Victoria de Durango,Q112813,https://en.wikipedia.org/wiki/Durango_%28city%29,Chihuahua | Coahuila | Zacatecas,,,"Borders peer subdivisions: Chihuahua, Coahuila, Zacatecas",maps/locators/mexico/durango.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,guanajuato,Guanajuato,Q46475,https://en.wikipedia.org/wiki/Guanajuato,Guanajuato,Q61306,https://en.wikipedia.org/wiki/Guanajuato_%28city%29,Jalisco | Michoacán | Querétaro | San Luis Potosí | Zacatecas,,,"Borders peer subdivisions: Jalisco, Michoacán, Querétaro, San Luis Potosí, Zacatecas",maps/locators/mexico/guanajuato.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,guerrero,Guerrero,Q60158,https://en.wikipedia.org/wiki/Guerrero,Chilpancingo de los Bravo,Q207935,https://en.wikipedia.org/wiki/Chilpancingo,Michoacán | Morelos | Oaxaca | Puebla | State of Mexico,,Pacific Ocean,"Borders peer subdivisions: Michoacán, Morelos, Oaxaca, Puebla, State of Mexico; Waters: Pacific Ocean",maps/locators/mexico/guerrero.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,hidalgo,Hidalgo,Q80903,https://en.wikipedia.org/wiki/Hidalgo_%28state%29,Pachuca,Q160750,https://en.wikipedia.org/wiki/Pachuca,Puebla | Querétaro | San Luis Potosí | State of Mexico | Tlaxcala | Veracruz,,,"Borders peer subdivisions: Puebla, Querétaro, San Luis Potosí, State of Mexico, Tlaxcala, Veracruz",maps/locators/mexico/hidalgo.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,jalisco,Jalisco,Q13160,https://en.wikipedia.org/wiki/Jalisco,Guadalajara,Q9022,https://en.wikipedia.org/wiki/Guadalajara,Aguascalientes | Colima | Guanajuato | Michoacán | Nayarit | Zacatecas,,Pacific Ocean,"Borders peer subdivisions: Aguascalientes, Colima, Guanajuato, Michoacán, Nayarit, Zacatecas; Waters: Pacific Ocean",maps/locators/mexico/jalisco.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,mexico-city,Mexico City,Q1489,https://en.wikipedia.org/wiki/Mexico_City,,,,Morelos | State of Mexico,,,"Borders peer subdivisions: Morelos, State of Mexico",maps/locators/mexico/mexico-city.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,michoacan,Michoacán,Q79861,https://en.wikipedia.org/wiki/Michoac%C3%A1n,Morelia,Q200252,https://en.wikipedia.org/wiki/Morelia,Colima | Guanajuato | Guerrero | Jalisco | Querétaro | State of Mexico,,Pacific Ocean,"Borders peer subdivisions: Colima, Guanajuato, Guerrero, Jalisco, Querétaro, State of Mexico; Waters: Pacific Ocean",maps/locators/mexico/michoacan.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,morelos,Morelos,Q66117,https://en.wikipedia.org/wiki/Morelos,Cuernavaca,Q204245,https://en.wikipedia.org/wiki/Cuernavaca,Guerrero | Mexico City | Puebla | State of Mexico,,,"Borders peer subdivisions: Guerrero, Mexico City, Puebla, State of Mexico",maps/locators/mexico/morelos.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,nayarit,Nayarit,Q79920,https://en.wikipedia.org/wiki/Nayarit,Tepic,Q207972,https://en.wikipedia.org/wiki/Tepic,Jalisco | Zacatecas,,Pacific Ocean,"Borders peer subdivisions: Jalisco, Zacatecas; Waters: Pacific Ocean",maps/locators/mexico/nayarit.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,nuevo-leon,Nuevo León,Q15282,https://en.wikipedia.org/wiki/Nuevo_Le%C3%B3n,Monterrey,Q81033,https://en.wikipedia.org/wiki/Monterrey,Coahuila | San Luis Potosí | Tamaulipas | Zacatecas,United States,,"Borders peer subdivisions: Coahuila, San Luis Potosí, Tamaulipas, Zacatecas; Countries: United States",maps/locators/mexico/nuevo-leon.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,oaxaca,Oaxaca,Q34110,https://en.wikipedia.org/wiki/Oaxaca,Oaxaca de Juárez,Q131429,https://en.wikipedia.org/wiki/Oaxaca_City,Chiapas | Guerrero | Puebla | Veracruz,,Pacific Ocean,"Borders peer subdivisions: Chiapas, Guerrero, Puebla, Veracruz; Waters: Pacific Ocean",maps/locators/mexico/oaxaca.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,puebla,Puebla,Q79923,https://en.wikipedia.org/wiki/Puebla,Heroica Puebla de Zaragoza,Q125293,https://en.wikipedia.org/wiki/Puebla_%28city%29,Guerrero | Hidalgo | Morelos | Oaxaca | State of Mexico | Tlaxcala | Veracruz,,,"Borders peer subdivisions: Guerrero, Hidalgo, Morelos, Oaxaca, State of Mexico, Tlaxcala, Veracruz",maps/locators/mexico/puebla.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,queretaro,Querétaro,Q79754,https://en.wikipedia.org/wiki/Quer%C3%A9taro,Santiago de Querétaro,Q173121,https://en.wikipedia.org/wiki/Quer%C3%A9taro_%28city%29,Guanajuato | Hidalgo | Michoacán | San Luis Potosí | State of Mexico,,,"Borders peer subdivisions: Guanajuato, Hidalgo, Michoacán, San Luis Potosí, State of Mexico",maps/locators/mexico/queretaro.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,quintana-roo,Quintana Roo,Q80245,https://en.wikipedia.org/wiki/Quintana_Roo,Chetumal,Q459553,https://en.wikipedia.org/wiki/Chetumal,Campeche | Yucatán,Belize,Caribbean Sea,"Borders peer subdivisions: Campeche, Yucatán; Countries: Belize; Waters: Caribbean Sea",maps/locators/mexico/quintana-roo.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,san-luis-potosi,San Luis Potosí,Q78980,https://en.wikipedia.org/wiki/San_Luis_Potos%C3%AD,San Luis Potosí,Q204271,https://en.wikipedia.org/wiki/San_Luis_Potos%C3%AD_%28city%29,Guanajuato | Hidalgo | Nuevo León | Querétaro | Tamaulipas | Veracruz | Zacatecas,,,"Borders peer subdivisions: Guanajuato, Hidalgo, Nuevo León, Querétaro, Tamaulipas, Veracruz, Zacatecas",maps/locators/mexico/san-luis-potosi.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,sinaloa,Sinaloa,Q80252,https://en.wikipedia.org/wiki/Sinaloa,Culiacán,Q211760,https://en.wikipedia.org/wiki/Culiac%C3%A1n,Chihuahua,,Gulf of California,Borders peer subdivisions: Chihuahua; Waters: Gulf of California,maps/locators/mexico/sinaloa.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,sonora,Sonora,Q46422,https://en.wikipedia.org/wiki/Sonora,Hermosillo,Q189138,https://en.wikipedia.org/wiki/Hermosillo,Baja California | Chihuahua,United States,Gulf of California,"Borders peer subdivisions: Baja California, Chihuahua; Countries: United States; Waters: Gulf of California",maps/locators/mexico/sonora.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,state-of-mexico,State of Mexico,Q82112,https://en.wikipedia.org/wiki/State_of_Mexico,Toluca de Lerdo,Q209034,https://en.wikipedia.org/wiki/Toluca,Guerrero | Hidalgo | Mexico City | Michoacán | Morelos | Puebla | Querétaro | Tlaxcala,,,"Borders peer subdivisions: Guerrero, Hidalgo, Mexico City, Michoacán, Morelos, Puebla, Querétaro, Tlaxcala",maps/locators/mexico/state-of-mexico.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,tabasco,Tabasco,Q80914,https://en.wikipedia.org/wiki/Tabasco,Villahermosa,Q210886,https://en.wikipedia.org/wiki/Villahermosa,Campeche | Chiapas | Veracruz,Guatemala,Gulf of Mexico,"Borders peer subdivisions: Campeche, Chiapas, Veracruz; Countries: Guatemala; Waters: Gulf of Mexico",maps/locators/mexico/tabasco.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,tamaulipas,Tamaulipas,Q80007,https://en.wikipedia.org/wiki/Tamaulipas,Ciudad Victoria,Q331661,https://en.wikipedia.org/wiki/Ciudad_Victoria,Nuevo León | San Luis Potosí | Veracruz,United States,Gulf of Mexico,"Borders peer subdivisions: Nuevo León, San Luis Potosí, Veracruz; Countries: United States; Waters: Gulf of Mexico",maps/locators/mexico/tamaulipas.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,tlaxcala,Tlaxcala,Q82681,https://en.wikipedia.org/wiki/Tlaxcala,Tlaxcala de Xicoténcatl,Q689987,https://en.wikipedia.org/wiki/Tlaxcala_%28city%29,Hidalgo | Puebla | State of Mexico,,,"Borders peer subdivisions: Hidalgo, Puebla, State of Mexico",maps/locators/mexico/tlaxcala.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,veracruz,Veracruz,Q60130,https://en.wikipedia.org/wiki/Veracruz,Xalapa,Q221051,https://en.wikipedia.org/wiki/Xalapa,Chiapas | Hidalgo | Oaxaca | Puebla | San Luis Potosí | Tabasco | Tamaulipas,,Gulf of Mexico,"Borders peer subdivisions: Chiapas, Hidalgo, Oaxaca, Puebla, San Luis Potosí, Tabasco, Tamaulipas; Waters: Gulf of Mexico",maps/locators/mexico/veracruz.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,yucatan,Yucatán,Q60176,https://en.wikipedia.org/wiki/Yucat%C3%A1n,Mérida,Q165204,https://en.wikipedia.org/wiki/M%C3%A9rida%2C_Yucat%C3%A1n,Campeche | Quintana Roo,,Gulf of Mexico,"Borders peer subdivisions: Campeche, Quintana Roo; Waters: Gulf of Mexico",maps/locators/mexico/yucatan.svg,maps/base/mexico/mexico-states.svg,
